player,pos,team,games,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,rush_att,rush_yds,rush_avg,rush_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned,return_tds,fumble_TD
Xavier Worthy,WR,KCC,NA,5,3,40,NA,NA,0,1,5,NA,0,NA,NA,NA,4683062,ESPN,16620,NA,NA,NA,NA,NA,NA,NA,NA
Mike Evans,WR,TB,NA,6,3,44,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,16737,ESPN,11671,NA,NA,NA,NA,NA,NA,NA,NA
DJ Moore,WR,CHI,NA,4,2,31,NA,NA,0,1,3,NA,0,NA,NA,NA,3915416,ESPN,13635,NA,NA,NA,NA,NA,NA,NA,NA
Zay Flowers,WR,BAL,NA,7,5,67,NA,NA,0,1,5,NA,0,NA,NA,NA,4429615,ESPN,16190,NA,NA,NA,NA,NA,NA,NA,NA
Courtland Sutton,WR,DEN,NA,8,5,57,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,3128429,ESPN,13630,NA,NA,NA,NA,NA,NA,NA,NA
Calvin Ridley,WR,TEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3925357,ESPN,13629,NA,NA,NA,NA,NA,NA,NA,NA
DeVonta Smith,WR,PHI,NA,7,5,57,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4241478,ESPN,15282,NA,NA,NA,NA,NA,NA,NA,NA
Jaylen Waddle,WR,MIA,NA,8,5,67,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4372016,ESPN,15284,NA,NA,NA,NA,NA,NA,NA,NA
Jerry Jeudy,WR,CLE,NA,6,3,49,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4241463,ESPN,14833,NA,NA,NA,NA,NA,NA,NA,NA
Jameson Williams,WR,DET,NA,7,4,74,NA,NA,0,0,3,NA,0,NA,NA,NA,4426388,ESPN,15756,NA,NA,NA,NA,NA,NA,NA,NA
Rashee Rice,WR,KCC,NA,9,6,73,NA,NA,1,1,4,NA,0,NA,NA,NA,4428331,ESPN,16194,NA,NA,NA,NA,NA,NA,NA,NA
George Pickens,WR,DAL,NA,9,5,77,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4426354,ESPN,15762,NA,NA,NA,NA,NA,NA,NA,NA
Rome Odunze,WR,CHI,NA,7,3,55,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4431299,ESPN,16616,NA,NA,NA,NA,NA,NA,NA,NA
Travis Hunter,WR,JAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4685415,ESPN,17074,NA,NA,NA,NA,NA,NA,NA,NA
Jakobi Meyers,WR,JAC,NA,6,4,45,NA,NA,0,1,5,NA,0,NA,NA,NA,3916433,ESPN,14127,NA,NA,NA,NA,NA,NA,NA,NA
Matthew Golden,WR,GB,NA,1,1,9,NA,NA,0,0,1,NA,0,NA,NA,NA,4701936,ESPN,17075,NA,NA,NA,NA,NA,NA,NA,NA
